,pa,ID,set,lon,lat
170,1,170,0,-73.0738,45.0156
171,1,171,0,-72.1611,43.8959
172,1,172,0,-84.6635,45.0161
173,1,173,0,-86.2136,42.6617
174,1,174,0,-88.971,41.3106
175,1,175,0,-70.6755,44.5575
176,1,176,0,-89.6758,45.8406
177,1,177,0,-83.7649,42.2997
178,1,178,0,-87.8284,42.3872
179,1,179,0,-72.3796,44.3692
180,1,180,0,-73.2331,42.5747
181,1,181,0,-72.5651,44.0617
182,1,182,0,-72.4994,43.3634
183,1,183,0,-72.4834,44.7317
184,1,184,0,-92.2253,46.7025
185,1,185,0,-91.1893,47.3872
186,1,186,0,-71.5587,42.4975
187,1,187,0,-76.1285,39.598
188,1,188,0,-68.8967,44.3585
189,1,189,0,-72.6037,44.2285
190,1,190,0,-80.8811,41.7063
191,1,191,0,-90.4221,38.5484
192,1,192,0,-95.9312,46.5349
193,1,193,0,-72.3005,44.2915
194,1,194,0,-92.6352,45.4064
195,1,195,0,-75.2175,41.0588
196,1,196,0,-81.5422,41.3786
197,1,197,0,-87.5121,37.9834
198,1,198,1,-80.6694,41.0143
199,1,199,0,-79.144,39.6963
200,1,200,0,-73.3465,44.6647
201,1,201,0,-73.2049,43.4815
202,1,202,0,-73.0489,43.6128
203,1,203,1,-72.5468,43.8161
204,1,204,0,-82.5297,36.1242
205,1,205,0,-73.6877,41.0981
206,1,206,0,-73.1494,44.0177
207,1,207,0,-81.6831,36.3291
208,1,208,0,-93.3397,44.7096
209,1,209,0,-72.4733,44.1442
210,1,210,0,-71.2435,42.4116
211,1,211,0,-75.6286,41.2987
212,1,212,0,-76.5622,42.3984
213,1,213,0,-85.3659,35.1209
214,1,214,0,-72.7994,44.4703
215,1,215,0,-73.1475,44.2711
216,1,216,0,-74.8639,44.0948
217,1,217,0,-87.7084,37.9646
218,1,218,0,-76.5882,39.4186
219,1,219,0,-87.244,44.9299
220,1,220,0,-87.753,41.3906
221,1,221,0,-85.2228,35.1159
222,1,222,0,-79.4274,42.4198
223,1,223,0,-83.6698,42.5395
224,1,224,0,-75.8547,40.2456
225,1,225,0,-71.5862,44.0771
226,1,226,0,-72.5706,42.8601
227,1,227,0,-72.1725,43.7944
228,1,228,0,-72.9178,43.5327
229,1,229,0,-73.2854,44.0477
230,1,230,0,-77.7864,38.8515
231,1,231,0,-71.6787,44.0989
232,1,232,0,-72.4101,44.2715
233,1,233,1,-84.2486,42.1648
234,1,234,1,-72.4632,43.2758
235,1,235,0,-73.5829,41.7733
236,1,236,0,-87.8223,42.2561
237,1,237,0,-89.1256,40.3626
238,1,238,0,-77.6725,39.6323
239,1,239,1,-72.4055,43.3998
240,1,240,0,-72.5161,44.427
241,1,241,0,-75.0257,42.039
242,1,242,0,-90.0555,43.2062
243,1,243,0,-72.6719,44.4013
244,1,244,0,-98.7197,34.7233
245,1,245,0,-78.8185,42.0701
246,1,246,0,-85.5814,45.1559
247,1,247,0,-72.6304,44.6035
248,1,248,0,-89.9373,46.2179
249,1,249,0,-82.39,37.4547
250,1,250,0,-77.6044,42.6551
251,1,251,0,-86.6251,41.8398
252,1,252,0,-74.6071,40.5719
253,1,253,0,-83.4201,36.207
254,1,254,0,-90.241,47.8047
255,1,255,1,-74.2873,40.9872
256,1,256,0,-84.3575,30.4793
257,1,257,0,-73.4289,40.8276
258,1,258,0,-111.8231,41.7348
259,1,259,0,-84.1715,33.6269
260,1,260,0,-81.4513,41.2267
261,1,261,0,-74.3754,40.6915
262,1,262,0,-72.9389,43.3427
263,1,263,0,-88.0212,41.789
264,1,264,0,-84.4115,39.137
265,1,265,0,-73.2269,44.1389
266,1,266,0,-73.7256,41.7815
267,1,267,0,-85.2517,46.5759
268,1,268,0,-88.0438,41.8173
269,1,269,0,-95.6177,45.7941
270,1,270,0,-72.3787,43.4981
271,1,271,0,-77.124,38.9459
272,1,272,0,-87.7954,42.0342
273,1,273,0,-72.9221,41.4762
274,1,274,1,-72.6305,43.8277
275,1,275,0,-73.8951,42.6116
276,1,276,0,-89.6093,46.2617
277,1,277,0,-84.2279,37.5677
278,1,278,0,-88.0329,43.7325
279,1,279,0,-80.0209,42.1299
280,1,280,1,-71.2356,42.3765
281,1,281,0,-91.1058,46.2095
282,1,282,0,-76.093,42.9974
283,1,283,0,-91.2378,38.0511
284,1,284,0,-74.4379,40.7751
285,1,285,0,-75.7594,42.6806
286,1,286,0,-81.8132,38.368
287,1,287,0,-82.7437,36.7027
288,1,288,0,-72.2489,44.247
289,1,289,0,-72.6235,43.2056
290,1,290,0,-73.9035,44.3808
291,1,291,0,-71.6896,43.4104
292,1,292,0,-82.9749,40.1914
293,1,293,0,-71.5605,42.6262
294,1,294,0,-73.0372,42.885
295,1,295,0,-74.2771,40.437
296,1,296,0,-89.0262,37.3546
297,1,297,0,-79.9373,42.1938
298,1,298,0,-86.0053,44.7866
299,1,299,0,-84.4869,45.3559
300,1,300,0,-72.4515,41.704
301,1,301,0,-86.1554,39.9322
302,1,302,0,-86.6614,46.4663
303,1,303,0,-94.5595,46.1519
304,1,304,0,-81.3049,41.608
305,1,305,0,-86.1508,42.9155
306,1,306,0,-85.8322,42.9786
307,1,307,0,-84.3724,33.788
308,1,308,0,-90.2783,36.8942
309,1,309,0,-72.7895,44.2194
310,1,310,0,-85.0681,36.3969
311,1,311,0,-81.561,41.1368
312,1,312,0,-74.5778,40.6001
313,1,313,0,-93.1678,45.039
314,1,314,0,-73.225,41.3378
315,1,315,0,-72.7847,41.3171
316,1,316,0,-86.4783,39.1738
317,1,317,1,-85.616,42.2832
318,1,318,1,-77.0429,39.0239
319,1,319,0,-77.9109,40.6685
320,1,320,0,-78.7367,41.954
321,1,321,0,-72.8709,43.6167
322,1,322,1,-75.2072,40.0221
323,1,323,0,-74.6128,41.0589
324,1,324,0,-78.1583,42.436
325,1,325,0,-76.2924,43.0655
326,1,326,0,-84.4327,40.138
327,1,327,0,-79.3879,39.6876
328,1,328,0,-92.0011,43.7624
329,1,329,0,-75.08,41
330,1,330,0,-73.9109,41.3896
331,1,331,0,-90.6779,38.1239
332,1,332,0,-74.1178,41.8006
333,1,333,0,-105.0996,39.8217
334,1,334,0,-74.7425,41.017
335,1,335,0,-94.9644,39.3938
336,1,336,0,-83.13,38.36
337,1,337,0,-95.1216,39.5993
338,1,338,0,-94.7004,38.264
339,1,339,0,-95.031,39.8631
340,1,340,0,-94.7899,38.4223
341,1,341,0,-93.8369,36.5586
342,1,342,0,-94.6508,38.396
343,1,343,0,-94.66,38.4063
344,1,344,0,-98.6732,34.7
345,1,345,0,-84.775,46.0978
346,1,346,0,-92.4834,42.7185
347,1,347,0,-94.7318,37.6556
348,1,348,0,-94.6558,37.0401
349,1,349,0,-94.8739,38.1411
350,1,350,0,-90.8536,38.8035
351,1,351,0,-94.5186,38.9911
352,1,352,0,-95.1014,39.5982
353,1,353,0,-95.1864,38.8108
354,1,354,0,-95.0264,38.8979
355,1,355,0,-94.947,38.2352
356,1,356,0,-77.6173,43.0024
357,1,357,0,-81.6481,41.1943
358,1,358,0,-89.417,43.0883
359,1,359,0,-89.7436,46.1961
360,1,360,0,-77.47,39.6284
361,1,361,0,-87.5652,46.5219
362,1,362,0,-73.0067,44.3518
363,1,363,0,-78.1327,40.3838
364,1,364,0,-82.1089,36.1056
365,1,365,1,-85.5947,38.3005
366,1,366,0,-74.8319,44.2059
367,1,367,0,-71.7386,44.5324
368,1,368,0,-76.6402,42.2941
369,1,369,0,-73.0617,43.7669
370,1,370,0,-72.1624,42.9181
371,1,371,0,-72.3256,42.4727
372,1,372,0,-87.7775,41.9984
373,1,373,0,-72.2612,43.7127
374,1,374,0,-94.3991,45.5673
375,1,375,0,-81.2534,41.0997
376,1,376,0,-68.2912,44.3259
377,1,377,0,-73.9201,43.052
378,1,378,0,-74.8535,41.0595
379,1,379,0,-90.1606,45.3673
380,1,380,0,-72.5058,41.7947
381,1,381,0,-76.9114,42.7241
382,1,382,0,-73.022,44.6034
383,1,383,0,-84.4726,42.717
384,1,384,0,-88.6574,46.5698
385,1,385,0,-72.1205,44.3769
386,1,386,0,-86.3076,34.7708
387,1,387,0,-80.0117,39.9585
388,1,388,0,-72.4665,42.8851
389,1,389,1,-88.7504,41.9295
390,1,390,0,-87.6432,41.9631
391,1,391,0,-89.1562,42.0357
